id,name,popularity,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2tudvzsrR56uom6smgOcSf,Like That,96,WE DON'T TRUST YOU,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,audio_features,spotify:track:2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf,https://api.spotify.com/v1/audio-analysis/2tudvzsrR56uom6smgOcSf,267707,4
0Z7nGFVCLfixWctgePsRk9,TEXAS HOLD 'EM,92,TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,spotify:track:0Z7nGFVCLfixWctgePsRk9,https://api.spotify.com/v1/tracks/0Z7nGFVCLfixWctgePsRk9,https://api.spotify.com/v1/audio-analysis/0Z7nGFVCLfixWctgePsRk9,235636,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,100,Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
4IadxL6BUymXlh8RCJJu7T,Too Sweet,89,Unheard,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,251424,4
6usohdchdzW9oML7VC4Uhk,Lose Control,89,Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,spotify:track:6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,https://api.spotify.com/v1/audio-analysis/6usohdchdzW9oML7VC4Uhk,210689,3
2PmMh2t7jAtN6cqFooA0Xy,JOLENE,85,COWBOY CARTER,0.567,0.812,11,-5.434,0,0.164,0.532,0.0,0.73,0.853,106.179,audio_features,spotify:track:2PmMh2t7jAtN6cqFooA0Xy,https://api.spotify.com/v1/tracks/2PmMh2t7jAtN6cqFooA0Xy,https://api.spotify.com/v1/audio-analysis/2PmMh2t7jAtN6cqFooA0Xy,189639,4
1UP7PXne1lIYZB5G5aiRGL,II MOST WANTED,87,COWBOY CARTER,0.533,0.355,8,-6.132,1,0.0289,0.497,0.0,0.174,0.256,137.986,audio_features,spotify:track:1UP7PXne1lIYZB5G5aiRGL,https://api.spotify.com/v1/tracks/1UP7PXne1lIYZB5G5aiRGL,https://api.spotify.com/v1/audio-analysis/1UP7PXne1lIYZB5G5aiRGL,208521,4
4xhsWYTOGcal8zt0J161CU,Lovin On Me,93,Lovin On Me,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,audio_features,spotify:track:4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU,138411,4
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),91,eternal sunshine,0.647,0.65,5,-8.278,1,0.0421,0.0716,1.62e-05,0.0749,0.281,115.853,audio_features,spotify:track:46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,https://api.spotify.com/v1/audio-analysis/46kspZSY3aKmwQe7O77fCC,228639,4
28drn6tQo95MRvO0jQEo5C,Type Shit,91,WE DON'T TRUST YOU,0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,spotify:track:28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C,https://api.spotify.com/v1/audio-analysis/28drn6tQo95MRvO0jQEo5C,228267,4
